PEDOT,rpm,thickness,stdev
20,500.0,6.987,0.128
20,1000.0,4.229,0.271
20,2000.0,3.528,0.349
20,3000.0,3.944,0.436
20,4000.0,3.096,0.26
20,5000.0,2.7,0.49230,500.0,5.42,0.091
30,1000.0,4.143,0.101
30,2000.0,3.037,0.103
30,3000.0,2.681,0.1
30,4000.0,2.669,0.125
30,5000.0,2.521,0.09340,500.0,6.264,0.424
40,1000.0,2.794,0.303
40,2000.0,3.134,0.254
40,3000.0,2.696,0.475
40,4000.0,2.38,0.128
40,5000.0,2.087,0.09160,500.0,1.441,0.238
60,1000.0,0.854,0.032
60,2000.0,0.795,0.018
60,3000.0,0.567,0.02
60,4000.0,0.631,0.034
60,5000.0,0.537,0.05480,500.0,1.841,0.918
80,1000.0,1.121,0.802
80,2000.0,0.566,0.034
80,3000.0,0.58,0.103
80,4000.0,0.854,0.367
80,5000.0,0.409,0.074