file,mode,samples
MVI_7916.MOV,const,"1,2,3"
MVI_7917.MOV,ox,"1,2,3"
MVI_7918.MOV,red,"1,2,3"
MVI_7919.MOV,const,"4,5,6"
MVI_7920.MOV,ox,"4,5,6"
MVI_7921.MOV,red,"4,5,6"
MVI_7922.MOV,const,"7,8,9"
MVI_7923.MOV,ox,"7,8,9"
MVI_7924.MOV,red,"7,8,9"
MVI_7925.MOV,const,"10,11,12"
MVI_7926.MOV,ox,"10,11,12"
MVI_7927.MOV,red,"10,11,12"
MVI_7928.MOV,const,"13,14,15"
MVI_7929.MOV,ox,"13,14,15"
MVI_7930.MOV,red,"13,14,15"
MVI_7932.MOV,const,"16,17,18"
MVI_7933.MOV,ox,"16,17,18"
MVI_7934.MOV,red,"16,17,18"
MVI_7936.MOV,const,"19,20,21"
MVI_7937.MOV,ox,"19,20,21"
MVI_7938.MOV,red,"19,20,21"
MVI_7939.MOV,const,"22,23,24"
MVI_7940.MOV,ox,"22,23,24"
MVI_7941.MOV,red,"22,23,24"
MVI_7942.MOV,const,"25,26,27"
MVI_7943.MOV,ox,"25,26,27"
MVI_7944.MOV,red,"25,26,27"
MVI_7945.MOV,const,"28,29,30"
MVI_7946.MOV,ox,"28,29,30"
MVI_7947.MOV,red,"28,29,30"